Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq,bat_level,bat_voltage,bat_temp
1,1686168436.504772000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4357,90.86000000000001
2,1686168436.678734000,15.181.163.0,10.215.173.1,1500,64,0,173.962,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4357,90.86000000000001
3,1686168437.703446000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4357,90.86000000000001
4,1686168437.867253000,15.181.163.0,10.215.173.1,1500,64,0,163.807,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4357,90.86000000000001
5,1686168438.897728000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4357,90.86000000000001
6,1686168439.058353000,15.181.163.0,10.215.173.1,1500,64,0,160.625,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
7,1686168440.083199000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
8,1686168440.248392000,15.181.163.0,10.215.173.1,1500,64,0,165.193,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
9,1686168441.272634000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
10,1686168441.435020000,15.181.163.0,10.215.173.1,1500,64,0,162.386,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
11,1686168442.458354000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-55,-85,-8,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
12,1686168442.618315000,15.181.163.0,10.215.173.1,1500,64,0,159.961,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
13,1686168443.641792000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
14,1686168443.798178000,15.181.163.0,10.215.173.1,1500,64,0,156.386,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
15,1686168444.818828000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
16,1686168444.978357000,15.181.163.0,10.215.173.1,1500,64,0,159.529,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
17,1686168446.007812000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
18,1686168446.168469000,15.181.163.0,10.215.173.1,1500,64,0,160.657,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
19,1686168447.195565000,10.215.173.1,15.181.163.0,1500,64,8,,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
20,1686168447.358406000,15.181.163.0,10.215.173.1,1500,64,0,162.841,40.493882,-111.865847,423,66536,-57,-85,-9,19,5,423,-53,-80,-6, 100, 4358,90.86000000000001
