Pkt_no,Time,src,dst,length,ttl,Type,RTT,Time,Loc,mVoiceRegState,mDataRegState,mChannelNumber,mPci,mEarfcn,mCellBandwidths,rssi,rsrp,rsrq,rssnr,lteLevel,rat,mPci,mEarfcn,rssi,rsrp,rsrq
1,1684945351.013360000,172.217.14.68,10.215.173.1,132,64,0,,1684945354.806297,"40.493983,-111.865878",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
2,1684945351.970295000,10.215.173.1,172.217.14.68,132,64,8,,1684945355.10159,"40.493983,-111.865878",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
3,1684945352.013321000,172.217.14.68,10.215.173.1,132,64,0,43.026,1684945355.385675,"40.493983,-111.865878",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
4,1684945352.970025000,10.215.173.1,172.217.14.68,132,64,8,,1684945355.799739,"40.493983,-111.865878",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
5,1684945353.014100000,172.217.14.68,10.215.173.1,132,64,0,44.075,1684945356.118697,"40.493983,-111.865878",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
6,1684945353.970954000,10.215.173.1,172.217.14.68,132,64,8,,1684945356.386909,"40.493983,-111.865878",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
7,1684945354.013160000,172.217.14.68,10.215.173.1,132,64,0,42.206,1684945356.8982131,"40.493983,-111.865878",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
8,1684945354.971407000,10.215.173.1,172.217.14.68,132,64,8,,1684945357.182904,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
9,1684945355.014424000,172.217.14.68,10.215.173.1,132,64,0,43.017,1684945357.473252,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
10,1684945355.971929000,10.215.173.1,172.217.14.68,132,64,8,,1684945357.764032,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
11,1684945356.013384000,172.217.14.68,10.215.173.1,132,64,0,41.455,1684945358.3274372,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
12,1684945356.972482000,10.215.173.1,172.217.14.68,132,64,8,,1684945358.593871,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
13,1684945357.039934000,172.217.14.68,10.215.173.1,132,64,0,67.452,1684945358.897699,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
14,1684945357.973819000,10.215.173.1,172.217.14.68,132,64,8,,1684945359.326887,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
15,1684945358.013150000,172.217.14.68,10.215.173.1,132,64,0,39.331,1684945359.638871,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-77,-9
16,1684945358.975764000,10.215.173.1,172.217.14.68,132,64,8,,1684945360.198669,"40.493983,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
17,1684945359.014119000,172.217.14.68,10.215.173.1,132,64,0,38.355,1684945360.541922,"40.493983,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
18,1684945359.975488000,10.215.173.1,172.217.14.68,132,64,8,,1684945360.990794,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
19,1684945360.004960000,172.217.14.68,10.215.173.1,132,64,0,29.472,1684945361.4030771,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
20,1684945360.976504000,10.215.173.1,172.217.14.68,132,64,8,,1684945361.876378,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
21,1684945361.014007000,172.217.14.68,10.215.173.1,132,64,0,37.503,1684945362.133267,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
22,1684945361.976983000,10.215.173.1,172.217.14.68,132,64,8,,1684945362.677639,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
23,1684945362.029979000,172.217.14.68,10.215.173.1,132,64,0,52.996,1684945362.990169,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
24,1684945362.977162000,10.215.173.1,172.217.14.68,132,64,8,,1684945363.956461,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
25,1684945363.014092000,172.217.14.68,10.215.173.1,132,64,0,36.93,1684945364.2259278,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
26,1684945363.978674000,10.215.173.1,172.217.14.68,132,64,8,,1684945364.6164732,"40.493982,-111.865877",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-9
27,1684945364.023032000,172.217.14.68,10.215.173.1,132,64,0,44.358,1684945365.0775292,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
28,1684945364.980521000,10.215.173.1,172.217.14.68,132,64,8,,1684945365.383392,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
29,1684945365.023842000,172.217.14.68,10.215.173.1,132,64,0,43.321,1684945365.98508,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
30,1684945365.980630000,10.215.173.1,172.217.14.68,132,64,8,,1684945366.291696,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
31,1684945366.032195000,172.217.14.68,10.215.173.1,132,64,0,51.565,1684945366.959703,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
32,1684945366.981265000,10.215.173.1,172.217.14.68,132,64,8,,1684945367.224181,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
33,1684945367.024135000,172.217.14.68,10.215.173.1,132,64,0,42.87,1684945367.8807402,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
34,1684945367.982388000,10.215.173.1,172.217.14.68,132,64,8,,1684945368.157789,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
35,1684945368.034177000,172.217.14.68,10.215.173.1,132,64,0,51.789,1684945369.002817,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
36,1684945368.982892000,10.215.173.1,172.217.14.68,132,64,8,,1684945369.261396,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
37,1684945369.024323000,172.217.14.68,10.215.173.1,132,64,0,41.431,1684945369.958978,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
38,1684945369.983452000,10.215.173.1,172.217.14.68,132,64,8,,1684945370.255519,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
39,1684945370.024009000,172.217.14.68,10.215.173.1,132,64,0,40.557,1684945370.954699,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
40,1684945370.984020000,10.215.173.1,172.217.14.68,132,64,8,,1684945371.344435,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
