Time,Loc,mVoiceRegState,mDataRegState,mChannelNumber,mPci,mEarfcn,mCellBandwidths,mBands,rssi,rsrp,rsrq,rssnr,lteLevel,rat,mPci,mEarfcn,rssi,rsrp,rsrq
1684940895.427377,"40.494024,-111.865833",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-82,-8,20,5,14,423,66536,-55,-83,-8
1684940917.969585,"40.494026,-111.865833",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-85,-8,21,5,14,423,66536,-51,-80,-7
1684940919.32347,"40.494027,-111.865836",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-80,-7
1684940920.682577,"40.494026,-111.865841",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-80,-7
1684940922.10846,"40.494018,-111.865838",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-74,-8
1684940923.4408598,"40.494018,-111.865837",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-74,-8
1684940924.78532,"40.494017,-111.865836",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-74,-8
1684940926.080575,"40.494020,-111.865835",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-83,-8,24,5,14,423,66536,-51,-74,-8
1684940927.425935,"40.494007,-111.865836",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-9,23,5,14,423,66536,-53,-84,-8
1684940928.84576,"40.493976,-111.865843",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-9,23,5,14,423,66536,-53,-84,-8
1684940930.174313,"40.493967,-111.865853",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-9,30,5,14,423,66536,-53,-84,-8
1684940931.518178,"40.493967,-111.865857",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-9,30,5,14,423,66536,-57,-81,-6
1684940932.8790872,"40.493969,-111.865859",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-57,-82,-9,24,5,14,423,66536,-57,-81,-6
1684940934.261479,"40.493969,-111.865865",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-80,-9,24,5,14,423,66536,-57,-81,-6
1684940935.574594,"40.493968,-111.865866",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-80,-9,24,5,14,423,66536,-57,-81,-6
1684940936.892818,"40.493964,-111.865866",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-78,-7
1684940938.239357,"40.493949,-111.865861",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-78,-7
1684940939.6329181,"40.493934,-111.865846",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-78,-7
1684940941.021384,"40.493937,-111.865841",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-78,-7
1684940942.355503,"40.493942,-111.865835",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-53,-81,-7
1684940943.696359,"40.493936,-111.865829",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-53,-81,-7
1684940945.145817,"40.493937,-111.865822",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-53,-81,-7
1684940946.491488,"40.493941,-111.865817",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-76,-9
1684940947.8396301,"40.493944,-111.865812",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-8,22,5,14,423,66536,-51,-76,-9
1684940949.189091,"40.493937,-111.865808",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-8,22,5,14,423,66536,-51,-76,-9
1684940950.651737,"40.493931,-111.865813",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-8,22,5,14,423,66536,-51,-76,-9
1684940952.071519,"40.493923,-111.865822",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-8,16,5,14,423,66536,-53,-80,-7
1684940953.514551,"40.493912,-111.865831",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-8,16,5,14,423,66536,-53,-80,-7
1684940955.083243,"40.493907,-111.865833",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-8,16,5,14,423,66536,-53,-80,-7
1684940956.539634,"40.493908,-111.865830",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-86,-8,18,5,14,423,66536,-57,-87,-8
1684940957.9464982,"40.493919,-111.865837",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-86,-8,18,5,14,423,66536,-57,-87,-8
1684940959.436688,"40.493924,-111.865838",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-86,-8,18,5,14,423,66536,-57,-87,-8
1684940960.8986619,"40.493932,-111.865840",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-61,-91,-7,16,5,14,423,66536,-57,-87,-8
1684940962.287034,"40.493935,-111.865848",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-61,-91,-7,16,5,14,423,66536,-55,-85,-6
1684940963.8001668,"40.493931,-111.865855",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-85,-6
1684940965.296118,"40.493929,-111.865857",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-85,-6
1684940966.752177,"40.493930,-111.865855",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940968.155371,"40.493927,-111.865852",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940969.587903,"40.493925,-111.865851",0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
