Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq
1,1685649836.223120000,142.250.72.164,10.215.173.1,132,64,0,,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
2,1685649837.180971000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
3,1685649837.223016000,142.250.72.164,10.215.173.1,132,64,0,42.045,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
4,1685649838.183316000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
5,1685649838.222226000,142.250.72.164,10.215.173.1,132,64,0,38.91,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
6,1685649839.185054000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
7,1685649839.222904000,142.250.72.164,10.215.173.1,132,64,0,37.85,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
8,1685649840.186378000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
9,1685649840.223058000,142.250.72.164,10.215.173.1,132,64,0,36.68,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
10,1685649841.187712000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-82,-10,23,5,423,-51,-76,-8
11,1685649841.233471000,142.250.72.164,10.215.173.1,132,64,0,45.759,40.493834,-111.865850,423,66536,-51,-82,-11,22,5,423,-51,-76,-8
12,1685649842.189924000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-82,-11,22,5,423,-51,-76,-8
