Time,lat,lon,mVoiceRegState,mDataRegState,mChannelNumber,mPci,mEarfcn,mCellBandwidths,mBands,rssi,rsrp,rsrq,rssnr,lteLevel,rat,mPci,mEarfcn,rssi,rsrp,rsrq
1684940895,40.494024,-111.865833,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-82,-8,20,5,14,423,66536,-55,-83,-8
1684940918,40.494026,-111.865833,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-85,-8,21,5,14,423,66536,-51,-80,-7
1684940919,40.494027,-111.865836,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-80,-7
1684940921,40.494026,-111.865841,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-80,-7
1684940922,40.494018,-111.865838,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-74,-8
1684940923,40.494018,-111.865837,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-74,-8
1684940925,40.494017,-111.865836,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-79,-8,25,5,14,423,66536,-51,-74,-8
1684940926,40.49402,-111.865835,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-83,-8,24,5,14,423,66536,-51,-74,-8
1684940927,40.494007,-111.865836,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-9,23,5,14,423,66536,-53,-84,-8
1684940929,40.493976,-111.865843,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-9,23,5,14,423,66536,-53,-84,-8
1684940930,40.493967,-111.865853,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-9,30,5,14,423,66536,-53,-84,-8
1684940932,40.493967,-111.865857,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-9,30,5,14,423,66536,-57,-81,-6
1684940933,40.493969,-111.865859,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-57,-82,-9,24,5,14,423,66536,-57,-81,-6
1684940934,40.493969,-111.865865,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-80,-9,24,5,14,423,66536,-57,-81,-6
1684940936,40.493968,-111.865866,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-80,-9,24,5,14,423,66536,-57,-81,-6
1684940937,40.493964,-111.865866,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-78,-7
1684940938,40.493949,-111.865861,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-78,-7
1684940940,40.493934,-111.865846,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-78,-7
1684940941,40.493937,-111.865841,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-78,-7
1684940942,40.493942,-111.865835,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-53,-81,-7
1684940944,40.493936,-111.865829,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-53,-81,-7
1684940945,40.493937,-111.865822,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-53,-81,-7
1684940946,40.493941,-111.865817,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-85,-8,22,5,14,423,66536,-51,-76,-9
1684940948,40.493944,-111.865812,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-8,22,5,14,423,66536,-51,-76,-9
1684940949,40.493937,-111.865808,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-8,22,5,14,423,66536,-51,-76,-9
1684940951,40.493931,-111.865813,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-8,22,5,14,423,66536,-51,-76,-9
1684940952,40.493923,-111.865822,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-8,16,5,14,423,66536,-53,-80,-7
1684940954,40.493912,-111.865831,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-8,16,5,14,423,66536,-53,-80,-7
1684940955,40.493907,-111.865833,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-8,16,5,14,423,66536,-53,-80,-7
1684940957,40.493908,-111.86583,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-86,-8,18,5,14,423,66536,-57,-87,-8
1684940958,40.493919,-111.865837,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-86,-8,18,5,14,423,66536,-57,-87,-8
1684940959,40.493924,-111.865838,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-86,-8,18,5,14,423,66536,-57,-87,-8
1684940961,40.493932,-111.86584,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-61,-91,-7,16,5,14,423,66536,-57,-87,-8
1684940962,40.493935,-111.865848,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-61,-91,-7,16,5,14,423,66536,-55,-85,-6
1684940964,40.493931,-111.865855,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-85,-6
1684940965,40.493929,-111.865857,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-85,-6
1684940967,40.49393,-111.865855,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940968,40.493927,-111.865852,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940970,40.493925,-111.865851,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940971,40.493924,-111.865852,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940972,40.493925,-111.865853,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940974,40.493923,-111.865853,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940975,40.493922,-111.865854,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-53,-84,-7
1684940977,40.493923,-111.865855,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-84,-7
1684940978,40.493918,-111.865853,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-84,-7
1684940980,40.493915,-111.865853,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-84,-7
1684940981,40.493917,-111.865852,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-84,-7
1684940983,40.493918,-111.865852,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-84,-8
1684940985,40.493938,-111.865858,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-55,-84,-8
1684940987,40.493946,-111.865859,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-53,-81,-7,21,5,14,423,66536,-57,-85,-8
1684940988,40.493947,-111.865859,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-61,-88,-8,12,5,14,423,66536,-57,-85,-8
1684940990,40.493942,-111.865851,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-82,-7,24,5,14,423,66536,-57,-85,-8
1684940991,40.493928,-111.865855,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-82,-7,24,5,14,423,66536,-57,-85,-8
1684940993,40.493933,-111.865854,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-55,-82,-7,24,5,14,423,66536,-51,-78,-7
1684940994,40.493941,-111.86585,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-77,-8,25,5,14,423,66536,-51,-78,-7
1684940996,40.493951,-111.865844,0,0,66536,423,66536,"[20000, 20000, 20000, 20000, 10000]",[66],-51,-71,-8,25,5,14,423,66536,-51,-78,-7
