Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq
1,1685661136,142.250.176.4,10.215.173.1,132,64,0,,40.49387,-111.865838,11,975,-51,-73,-9,13,5,9,-63,-88,-12
2,1685661137,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-73,-9,13,5,9,-63,-88,-12
3,1685661137,142.250.176.4,10.215.173.1,132,64,0,39.894,40.49387,-111.865838,11,975,-51,-73,-9,13,5,9,-63,-88,-12
4,1685661138,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-73,-9,13,5,9,-63,-88,-12
5,1685661138,142.250.176.4,10.215.173.1,132,64,0,38.103,40.49387,-111.865838,11,975,-51,-73,-9,13,5,9,-63,-88,-12
6,1685661139,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-73,-9,13,5,9,-63,-88,-12
7,1685661139,142.250.176.4,10.215.173.1,132,64,0,36.498,40.49387,-111.865838,11,975,-51,-73,-9,13,5,9,-63,-88,-12
8,1685661140,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-73,-9,13,5,9,-63,-88,-12
9,1685661140,142.250.176.4,10.215.173.1,132,64,0,43.656,40.49387,-111.865838,11,975,-51,-73,-10,21,5,9,-63,-88,-12
10,1685661141,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-73,-10,21,5,9,-63,-88,-12
11,1685661141,142.250.176.4,10.215.173.1,132,64,0,42.693,40.49387,-111.865838,11,975,-51,-73,-10,21,5,9,-63,-88,-12
12,1685661142,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-73,-10,21,5,9,-63,-88,-12
13,1685661142,142.250.176.4,10.215.173.1,132,64,0,41.951,40.49387,-111.865838,11,975,-51,-70,-9,13,5,9,-63,-88,-12
14,1685661143,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-70,-9,13,5,9,-63,-88,-12
15,1685661143,142.250.176.4,10.215.173.1,132,64,0,38.711,40.49387,-111.865838,11,975,-51,-70,-9,13,5,9,-63,-88,-12
16,1685661144,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-70,-9,13,5,9,-63,-88,-12
17,1685661144,142.250.176.4,10.215.173.1,132,64,0,38.27,40.49387,-111.865838,11,975,-51,-70,-9,13,5,9,-63,-88,-12
18,1685661145,10.215.173.1,142.250.176.4,132,64,8,,40.49387,-111.865838,11,975,-51,-70,-9,13,5,9,-63,-88,-12
