rssi,rsrp,rsrq,rssnr,mPci,mEarfcn,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq,epoch
-51,-80,-7,23,423,66536,423,-51,-82,-9,1688079471.936072
-51,-80,-7,23,423,66536,423,-51,-82,-9,1688079472.237268
-51,-80,-7,23,423,66536,423,-51,-82,-9,1688079472.549979
-51,-80,-7,23,423,66536,423,-51,-82,-9,1688079472.838824
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079473.091817
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079473.355669
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079473.605019
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079473.865535
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079474.168612
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079474.480304
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079474.788430
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079475.045729
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079475.311051
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079475.623770
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079475.925062
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079476.217303
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079476.490686
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079476.778973
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079477.074413
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079477.340438
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079477.631396
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079477.919043
-55,-78,-9,24,423,66536,423,-51,-82,-9,1688079478.208777
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079478.527531
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079478.800670
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079479.079092
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079479.375189
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079479.677778
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079479.965384
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079480.217438
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079480.493468
-55,-83,-10,21,423,66536,423,-51,-82,-9,1688079480.793428
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079481.071613
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079481.355739
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079481.639575
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079481.920173
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079482.200791
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079482.471936
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079482.773642
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079483.072159
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079483.358653
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079483.651309
-57,-84,-8,22,423,66536,423,-51,-82,-9,1688079483.959919
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079484.249290
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079484.542964
