Time,src,dst,length,ttl,Type,RTT,Time,lat,lon,mVoiceRegState,mDataRegState,mChannelNumber,mPci,mEarfcn,mCellBandwidths,rssi,rsrp,rsrq,rssnr,lteLevel,mPci,mEarfcn,rssi,rsrp,rsrq,
1684959180,172.217.14.68,10.215.173.1,132,64,0,,1684959184,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959181,10.215.173.1,172.217.14.68,132,64,8,,1684959184,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959181,172.217.14.68,10.215.173.1,132,64,0,37.673,1684959185,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959182,10.215.173.1,172.217.14.68,132,64,8,,1684959185,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959182,172.217.14.68,10.215.173.1,132,64,0,36.434,1684959185,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959183,10.215.173.1,172.217.14.68,132,64,8,,1684959186,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959183,172.217.14.68,10.215.173.1,132,64,0,44.78,1684959186,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959184,10.215.173.1,172.217.14.68,132,64,8,,1684959186,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959184,172.217.14.68,10.215.173.1,132,64,0,42.186,1684959187,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959185,10.215.173.1,172.217.14.68,132,64,8,,1684959187,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959185,172.217.14.68,10.215.173.1,132,64,0,41.502,1684959187,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-69,-7,
1684959186,10.215.173.1,172.217.14.68,132,64,8,,1684959188,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-70,-7,
1684959186,172.217.14.68,10.215.173.1,132,64,0,40.69,1684959188,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-70,-7,
1684959187,10.215.173.1,172.217.14.68,132,64,8,,1684959188,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-70,-7,
1684959187,172.217.14.68,10.215.173.1,132,64,0,46.442,1684959189,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-70,-7,
1684959188,10.215.173.1,172.217.14.68,132,64,8,,1684959189,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-71,-8,28,5,423,975,-51,-70,-7,
1684959188,172.217.14.68,10.215.173.1,132,64,0,38.058,1684959190,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-70,-7,
1684959189,10.215.173.1,172.217.14.68,132,64,8,,1684959190,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-70,-7,
1684959189,172.217.14.68,10.215.173.1,132,64,0,34.333,1684959190,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-70,-7,
1684959190,10.215.173.1,172.217.14.68,132,64,8,,1684959191,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-70,-7,
1684959190,172.217.14.68,10.215.173.1,132,64,0,50.625,1684959191,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-70,-7,
1684959191,10.215.173.1,172.217.14.68,132,64,8,,1684959192,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-70,-7,
1684959191,172.217.14.68,10.215.173.1,132,64,0,42.901,1684959192,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-70,-7,
1684959192,10.215.173.1,172.217.14.68,132,64,8,,1684959193,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-70,-7,
1684959192,172.217.14.68,10.215.173.1,132,64,0,41.752,1684959194,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-68,-7,
1684959193,10.215.173.1,172.217.14.68,132,64,8,,1684959194,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-68,-7,
1684959193,172.217.14.68,10.215.173.1,132,64,0,39.506,1684959195,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-68,-7,
1684959194,10.215.173.1,172.217.14.68,132,64,8,,1684959195,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-68,-7,
1684959194,172.217.14.68,10.215.173.1,132,64,0,38.464,1684959196,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-68,-7,
1684959195,10.215.173.1,172.217.14.68,132,64,8,,1684959196,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-68,-7,
1684959195,172.217.14.68,10.215.173.1,132,64,0,37.681,1684959197,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-70,-7,28,5,423,975,-51,-68,-7,
1684959196,10.215.173.1,172.217.14.68,132,64,8,,1684959197,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959196,172.217.14.68,10.215.173.1,132,64,0,34.876,1684959197,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959197,10.215.173.1,172.217.14.68,132,64,8,,1684959198,40.493894,-111.865829,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959197,172.217.14.68,10.215.173.1,132,64,0,42.766,1684959198,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959198,10.215.173.1,172.217.14.68,132,64,8,,1684959199,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959198,172.217.14.68,10.215.173.1,132,64,0,40.997,1684959199,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959199,10.215.173.1,172.217.14.68,132,64,8,,1684959200,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959199,172.217.14.68,10.215.173.1,132,64,0,40.425,1684959200,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959200,10.215.173.1,172.217.14.68,132,64,8,,1684959201,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
1684959200,172.217.14.68,10.215.173.1,132,64,0,39.109,1684959201,40.493894,-111.86583,0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-68,-8,29,5,423,975,-51,-68,-7,
